Player,Team,Pos,Tgt,Rec,Yds,TD,1D,Succ%,Lng,Fmb
AJ Barner,SEA,TE,38,30,245,4,18,63.2,20,0
Dyami Brown,WAS,WR,40,30,308,1,13,47.5,51,1
Colby Parkinson,LAR,TE,49,30,294,1,15,53.1,23,0
Christian Watson,GNB,WR,53,29,620,2,21,47.2,60,1
Troy Franklin,DEN,WR,53,28,263,2,11,35.8,30,0
Jalen Nailor,MIN,WR,42,28,414,6,22,59.5,33,1
Samaje Perine,KAN,RB,35,28,322,1,15,51.4,36,0
Josh Whyle,TEN,TE,37,28,248,1,14,51.4,33,0
Luke Schoonmaker,DAL,TE,36,27,241,1,11,55.6,24,0
Tyler Johnson,LAR,WR,41,26,291,1,10,43.9,63,0
Grant Calcaterra,PHI,TE,30,24,298,1,15,63.3,34,0
Van Jefferson,PIT,WR,40,24,276,2,12,47.5,43,0
Jaleel McLaughlin,DEN,RB,27,24,76,2,3,33.3,11,1
Antonio Gibson,NWE,RB,29,23,206,0,11,51.7,50,2
Adonai Mitchell,IND,WR,55,23,312,0,16,36.4,36,2
Dawson Knox,BUF,TE,33,22,311,1,12,63.6,39,0
Josh Oliver,MIN,TE,28,22,258,3,14,67.9,28,0
Justin Watson,KAN,WR,32,22,289,2,13,56.3,49,0
Jordan Whittington,LAR,WR,28,22,293,0,14,75,50,0
Devin Singletary,NYG,RB,24,21,119,0,4,45.8,23,2
Mike Williams,2TM,WR,34,21,298,1,14,50,32,0
Elijah Higgins,ARI,TE,24,20,172,2,10,70.8,23,0
Drew Sample,CIN,TE,22,20,109,1,8,63.6,12,1
Cedrick Wilson Jr.,NOR,WR,27,20,211,1,8,48.1,25,1
Robert Woods,HOU,WR,30,20,203,0,12,50,32,3
Braelon Allen,NYJ,RB,27,19,148,1,8,51.9,15,0
Jahan Dotson,PHI,WR,33,19,216,0,12,48.5,36,0
Derrick Henry,BAL,RB,22,19,193,2,11,68.2,27,3
Kyle Juszczyk,SFO,FB,31,19,200,2,8,48.4,36,1
Johnny Mundt,MIN,TE,27,19,142,2,8,44.4,20,0
Dare Ogunbowale,HOU,RB,28,19,198,1,8,35.7,31,0
Darnell Washington,PIT,TE,25,19,200,1,9,68,29,0
Ty Johnson,BUF,RB,25,18,284,3,14,60,41,0
Luke McCaffrey,WAS,WR,24,18,168,0,8,50,30,0
Jeremy Ruckert,NYJ,TE,28,18,105,0,6,42.9,12,0
Ray Davis,BUF,RB,19,17,189,3,8,63.2,63,0
Nick Vannett,TEN,TE,20,17,135,3,7,75,24,0
Jonathan Mingo,2TM,WR,42,17,167,0,6,28.6,35,1
Kenneth Gainwell,PHI,RB,22,16,116,0,5,40.9,16,0
Trey Sermon,IND,RB,19,16,99,0,3,31.6,14,0
Stone Smartt,LAC,TE,19,16,208,0,11,68.4,31,1
Isaac Guerendo,SFO,RB,16,15,152,0,7,56.3,40,3
Cade Stover,HOU,TE,22,15,133,1,5,40.9,27,0
Nate Adkins,DEN,TE,15,14,115,3,6,73.3,16,0
Daniel Bellinger,NYG,TE,17,14,125,0,8,64.7,17,0
Kylen Granson,IND,TE,31,14,182,0,8,38.7,40,0
Cam Akers,2TM,RB,18,14,68,3,4,33.3,9,1
Tyler Allgeier,ATL,RB,13,13,88,0,2,46.2,13,0
Jake Bobo,SEA,WR,17,13,107,1,8,58.8,15,0
Derius Davis,LAC,WR,17,13,112,2,5,52.9,23,3
Adam Trautman,DEN,TE,22,13,188,2,8,40.9,37,0
Brock Wright,DET,TE,16,13,100,2,7,68.8,16,0
Mo Alie-Cox,IND,TE,22,12,147,1,7,54.5,22,0
Ezekiel Elliott,DAL,RB,15,12,69,0,3,46.7,15,1
Luke Farrell,JAX,TE,17,12,67,0,4,52.9,11,0
